question;answer;score;key;title
What are advantages of a 'Digital Twin'?;composability and augmentation;0.9417;I29GGRLL;Digital Twin in the IoT context: a survey on technical features, scenarios and architectural models
What are advantages of a 'Digital Twin'?;low computational complexity and relative high accuracy;0.9405;EII52ANL;Optimized throughput improvement of assembly flow line with digital twin online analytics
What are advantages of a 'Digital Twin'?;cost reduction, efficiency, and time reduction;0.9351;NLXERBF6;The logistics network digital twin in view of concept of the non-destructive quality control methods
What are advantages of a 'Digital Twin'?;machine learning methods;0.9323;RURY9PLM;Development of digital twin of CNC unit based on machine learning methods.
What are advantages of a 'Digital Twin'?;healthcare and well-being;0.931;84TMA2ZM;Cardio Twin: A Digital Twin of the human heart running on the edge
What are advantages of a 'Digital Twin'?;asset integrity monitoring, project planning, and life cycle management;0.9263;34FWNV6J;Digital Twin for the Oil and Gas Industry: Overview, Research Trends, Opportunities, and Challenges
What are advantages of a 'Digital Twin'?;vertical and horizontal integration;0.924;MINUKX7G;A six-layer architecture for the digital twin: a manufacturing case study implementation
What are advantages of a 'Digital Twin'?;faster prototyping, algorithm design and AI-based augmented engineering;0.9227;EV37TXGW;AI-Augmented Multi Function Radar Engineering with Digital Twin: Towards Proactivity
What are advantages of a 'Digital Twin'?;efficient data queries, integrated data processing and interpretation capacities;0.9172;IUXQIB7Z;Mobile Mapping, Machine Learning and Digital Twin for Road Infrastructure Monitoring and Maintenance: Case Study of Mohammed VI Bridge in Morocco
What are advantages of a 'Digital Twin'?;Clarity and transparency;0.9164;G6DDC4MX;DIGITAL TWIN, VIRTUAL REALITY AND SPACE SYNTAX: CIVIC ENGAGEMENT AND DECISION SUPPORT FOR SMART, SUSTAINABLE CITIES.
What are advantages of a 'Digital Twin'?;flexibility, portability and mobility;0.915;YW6CP7MP;Digital twin-based smart assembly process design and application framework for complex products and its case study
What are advantages of a 'Digital Twin'?;improving reliability of scheduling;0.9109;GBTQAQ97;Digital Twin Enhanced Dynamic Job-Shop Scheduling
What are advantages of a 'Digital Twin'?;abilities, smart services and evolution;0.9014;J7ZDC6BP;Towards a semantic Construction Digital Twin: Directions for future research
What are advantages of a 'Digital Twin'?;different voltages, currents, loadings and temperatures;0.8917;5XQMW7D6;A Digital Twin based Estimation Method for Health Indicators of DC-DC Converters
What are advantages of a 'Digital Twin'?;production and design, remote diagnostics and service;0.8894;EGURTTDW;Visualisation of the Digital Twin data in manufacturing by using Augmented Reality
What are advantages of a 'Digital Twin'?;virtual reality mapping and interaction fusion;0.8867;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What are advantages of a 'Digital Twin'?;improved driving safety and reduced accident-related fatalities;0.885;V9UTHIC3;Conceptual digital twin modeling based on an integrated five-dimensional framework and TRIZ function model
What are advantages of a 'Digital Twin'?;networking and computing speed;0.8761;EH8YSCYH;Faster than real-time simulation of mobile crane dynamics using digital twin concept
What are advantages of a 'Digital Twin'?;productivity and efficiency;0.8739;T7MURFP2;A Digital Twin for Grinding Wheel: An Information Sharing Platform for Sustainable Grinding Process
What are advantages of a 'Digital Twin'?;improve the IHSC transparency, safety, security, and efficiency;0.873;MNQZM5H9;Simulation-Based Digital Twin Development for Blockchain Enabled End-to-End Industrial Hemp Supply Chain Risk Management
What are advantages of a 'Digital Twin'?;information visibility and traceability;0.8709;Y8S9ARI5;Digital twin-enabled Graduation Intelligent Manufacturing System for fixed-position assembly islands
What are advantages of a 'Digital Twin'?;models the robot and its environment;0.868;N5AJ53CG;Training Robot Manipulation Skills through Practice with Digital Twin of Baxter
What are advantages of a 'Digital Twin'?;increasing intellectual capital;0.8592;AISSN8RV;Challenges of Digital Twin in High Value Manufacturing
What are advantages of a 'Digital Twin'?;data management and interactions;0.8584;SE8DHM9U;Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities
What are advantages of a 'Digital Twin'?;faster integration of new vehicle derivatives and variants;0.855;93FAKPGJ;A Case Study for a Digital Twin of Body-in-White Production Systems
What are advantages of a 'Digital Twin'?;lack of accurate, unified definition and description;0.853;MRYAD86I;An application framework of digital twin and its case study
What are advantages of a 'Digital Twin'?;real-time, stability and reliability;0.8518;CMY8BKAB;A Low Cost Flexible Digital Twin Platform for Spacecraft Lithium-ion Battery Pack Degradation Assessment
What are advantages of a 'Digital Twin'?;minimize center data process, center hardware capability, and needed bandwidth;0.8507;NSVSDYBW;Usage of Digital Twin Technologies during System Modeling and Testing in Vessel Traffic Services System Project
What are advantages of a 'Digital Twin'?;accuracy, applicability, and peculiarities;0.8375;F3FQJ7HI;Application of Digital Twin for Gas Turbine Off-Design Performance and Operation Analyses
What are advantages of a 'Digital Twin'?;higher efficiency, accuracy and economic benefits;0.8281;HT9UK5VY;Implementation of an IoT- and Cloud-based Digital Twin for Real-Time Decision Support in Port Operations
What are advantages of a 'Digital Twin'?;standardization, openness, and scalability;0.8241;SFM4YFNK;Digital twin for CNC machine tool: modeling and using strategy
What are advantages of a 'Digital Twin'?;competitive throughput and latency performance;0.8185;QRWN2WAJ;Manufacturing Blockchain of Things for the Configuration of a Data-and Knowledge-Driven Digital Twin Manufacturing Cell
What are advantages of a 'Digital Twin'?;high data compression ratios;0.817;5UHAEFIT;Digital Twin: Values, Challenges and Enablers
What are advantages of a 'Digital Twin'?;time, costs and process quality;0.8143;EFZBB3W3;Ubiquitous knowledge empowers the Smart Factory: The impacts of a Service-oriented Digital Twin on enterprises' performance
What are advantages of a 'Digital Twin'?;increased geometrical quality;0.8138;TSITSDPP;Inspection Data to Support a Digital Twin for Geometry Assurance
What are advantages of a 'Digital Twin'?;complexity and variability;0.8084;N7YVDTF2;Review of digital twin about concepts, technologies, and industrial applications
What are advantages of a 'Digital Twin'?;ultralow latency and unprecedented speed;0.8009;L99VI2FU;Digital Twin: Values, Challenges and Enablers From a Modeling Perspective
What are advantages of a 'Digital Twin'?;all models and data are available consistently;0.7932;MKBKT4GR;Digital twin-driven cyber-physical production system towards smart shop-floor
What are advantages of a 'Digital Twin'?;faster product integration and Industry 4.0 concepts;0.7895;LKMU2FJ3;A digital twin for production planning based on cyber-physical systems: A Case Study for a Cyber-Physical System-Based Creation of a Digital Twin
What are advantages of a 'Digital Twin'?;accuracy is reduced with increased time;0.7893;6FYAT3PD;Reengineering Aircraft Structural Life Prediction Using a Digital Twin
What are advantages of a 'Digital Twin'?;Energy-aware resources;0.7849;PUNDW3ZP;Energy-Aware Resources in Digital Twin: The Case of Injection Molding Machines
What are advantages of a 'Digital Twin'?;complementary;0.7835;TPQI9BTD;Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison
What are advantages of a 'Digital Twin'?;advantages and limitations;0.7795;AJJ7K6AE;Disrupting rock engineering concepts: is there such a thing as a rock mass digital twin and are machines capable of learning rock mechanics?
What are advantages of a 'Digital Twin'?;artificial intelligent algorithms and multi-criteria decision-making techniques;0.7745;X5Z5QL7P;Digital Twin-Based Smart Manufacturing System for Project-Based Organizations: A Conceptual Framework
What are advantages of a 'Digital Twin'?;efficiency;0.7738;FEKEXDCW;Towards a Digital Twin Supporting Risk Based Decision Making for Offshore Installations
What are advantages of a 'Digital Twin'?;hyper realism, computability, controllability, and predictability;0.7718;B85IJW7W;A Digital-Twin-Assisted Fault Diagnosis Using Deep Transfer Learning
What are advantages of a 'Digital Twin'?;more sensitive to multiple fault conditions;0.7703;9IHMR5QM;Data-driven digital twin technology for optimized control in process systems
What are advantages of a 'Digital Twin'?;fuel supply (Trottle opening, %) and load on the hook;0.7699;XH6G8DQ5;Digital twin of wheel tractor with automatic gearbox
What are advantages of a 'Digital Twin'?;faster decision-making;0.7676;AM8RKH94;Simulation-based Analysis of the Interaction of a Physical and a Digital Twin in a Cyber-Physical Production System
What are advantages of a 'Digital Twin'?;complexity and overfitting;0.7652;BCGITJVS;Information-Based Model Discrimination for Digital Twin Behavioral Matching
What are advantages of a 'Digital Twin'?;physical objects, virtual objects, and the connection of physical space and virtual space;0.7647;H8RR4IB3;A enhanced interaction framework based on VR, AR and MR in digital twin
What are advantages of a 'Digital Twin'?;integrating dynamic and static data;0.7621;HGN9RFA9;Dynamic digital twin for predictive maintenance in flexible production systems
What are advantages of a 'Digital Twin'?;establishing relationships between projections by detecting shared data flows;0.7609;2FRVPYSY;A Method for Digital Twin Generation Based on the Aggregation of Information Objects
What are advantages of a 'Digital Twin'?;easy implementation, high accuracy and fast convergence speedFigure 6;0.7584;PC6HFS52;Digital Twin for rotating machinery fault diagnosis in smart manufacturing
What are advantages of a 'Digital Twin'?;increased security for critical data of products;0.7549;B5NQWNVI;Digital Twin of Experimental Smart Manufacturing Assembly System for Industry 4.0 Concept
What are advantages of a 'Digital Twin'?;cost and availability of technology;0.7543;UIAS2E56;Characterising the Digital Twin: A systematic literature review
What are advantages of a 'Digital Twin'?;object-oriented modeling;0.7525;QKK2VMHP;A Digital Twin for Operational Evaluation of Vertical Transportation Systems
What are advantages of a 'Digital Twin'?;high value and complex assets;0.751;9P8AAUVM;On Digital Twin Condition Monitoring Approach for Drivetrains in Marine Applications
What are advantages of a 'Digital Twin'?;data analytics;0.7494;YRVBM6V7;Supporting the Design, Commissioning and Supervision of Smart Factory Components through their Digital Twin
What are advantages of a 'Digital Twin'?;Reference positions and corresponding velocities;0.7482;3KM6FWRD;Digital Twin-Based Optimization for Ultraprecision Motion Systems With Backlash and Friction
What are advantages of a 'Digital Twin'?;improvements in end-product safety and cost;0.7477;9EH3ELD7;Process compensated resonance testing (PCRT) inversion for material characterization and digital twin calibration
What are advantages of a 'Digital Twin'?;adaptive UIs;0.7474;5DQL3TQL;A Digital Twin-Based Multi-modal UI Adaptation Framework for Assistance Systems in Industry 4.0
What are advantages of a 'Digital Twin'?;high conceptual abstraction;0.7468;KJU852R4;Digital Twin for Everything: Some Pilot Studies
What are advantages of a 'Digital Twin'?;multiple time-scales;0.7461;7KDJXKH6;Machine learning based digital twin for dynamical systems with multiple time-scales
What are advantages of a 'Digital Twin'?;real-time data acquisition and subsequent simulation data processing based on learning factory;0.7451;U3NBLLWC;The Modelling and Using Strategy for The Digital Twin in Process Planning
What are advantages of a 'Digital Twin'?;fast and continuous user feedback;0.7446;JHMTNIKC;An ISO/IEEE 11073 Standardized Digital Twin Framework for Health and Well-Being in Smart Cities
What are advantages of a 'Digital Twin'?;predicting accuracy and comprehensive performance;0.7419;AHTN5Z8E;Machine Learning based Digital Twin Framework for Production Optimization in Petrochemical Industry
What are advantages of a 'Digital Twin'?;change in ownership or contribution;0.7398;VRYGEDWC;Model-Based Design of Complex Aeronautical Systems Through Digital Twin and Thread Concepts
What are advantages of a 'Digital Twin'?;directions and limitations;0.7398;PJXS2L8F;Creating a Digital Twin to the Online Promotion Process for Small Businesses
What are advantages of a 'Digital Twin'?;fault detection, isolation, and identification;0.7393;VL824NRW;Fleet Monitoring and Diagnostics Framework Based on Digital Twin of Aero-Engines
What are advantages of a 'Digital Twin'?;excellent accuracy of scanned data;0.7358;7DHG5GCV;Development of a bridge maintenance system for prestressed concrete bridges using 3D digital twin model
