question;answer;score;key;title
What are challenges of a 'Digital Twin'?;scalability, privacy, security and a total dearth of censorship;0.9605;5UHAEFIT;Digital Twin: Values, Challenges and Enablers
What are challenges of a 'Digital Twin'?;low computational complexity and relative high accuracy;0.9454;EII52ANL;Optimized throughput improvement of assembly flow line with digital twin online analytics
What are challenges of a 'Digital Twin'?;productivity, quality, reproducibility, and sustainability;0.9372;L99VI2FU;Digital Twin: Values, Challenges and Enablers From a Modeling Perspective
What are challenges of a 'Digital Twin'?;software compatibility and ensuring that the measurement data are up to date;0.9371;Q8AINU7E;Application of a Hybrid Digital Twin Concept for Factory Layout Planning
What are challenges of a 'Digital Twin'?;healthcare and well-being;0.9324;84TMA2ZM;Cardio Twin: A Digital Twin of the human heart running on the edge
What are challenges of a 'Digital Twin'?;current data (and service) integration problems;0.9318;DH5MY64P;SEDIT: Semantic Digital Twin Based on Industrial IoT Data Management and Knowledge Graphs
What are challenges of a 'Digital Twin'?;rising global carbon dioxide emissions;0.9244;W77YFK8C;Evaluation of Industry 4.0 Data formats for Digital Twin of Optical Components
What are challenges of a 'Digital Twin'?;realtime communication technology, reliable data analysis, and large data storage;0.9227;V9UTHIC3;Conceptual digital twin modeling based on an integrated five-dimensional framework and TRIZ function model
What are challenges of a 'Digital Twin'?;Data security concerns and secure data encryption;0.9205;Z7Y9W2V7;Exploring the blue skies potential of digital twin technology for a polar supply and research vessel
What are challenges of a 'Digital Twin'?;fault diagnosis and prognosis;0.9204;9UKU3LWV;Digital Twin for Machining Tool Condition Prediction
What are challenges of a 'Digital Twin'?;interfaces and timing;0.9136;NSVSDYBW;Usage of Digital Twin Technologies during System Modeling and Testing in Vessel Traffic Services System Project
What are challenges of a 'Digital Twin'?;managing the real-time and historical data;0.9133;DN7WGIDE;Digital twin information technology for biomedical data complex representation and processing
What are challenges of a 'Digital Twin'?;Performance, optimization, robustness, and reliability;0.9035;EN7XR2PN;A System of Systems Digital Twin to Support Life Time Management and Life Extension of Subsea Production Systems
What are challenges of a 'Digital Twin'?;vertical and horizontal integration;0.9018;MINUKX7G;A six-layer architecture for the digital twin: a manufacturing case study implementation
What are challenges of a 'Digital Twin'?;cost reduction, capability improvement, health and safety, and operational effectiveness;0.9016;ZTXACHFS;Digital Twin Technology in the Field Reclaims Offshore Resources
What are challenges of a 'Digital Twin'?;real-time monitoring and synchronizing data;0.8977;QZTLF2LZ;Digital twin-driven manufacturing cyber-physical system for parallel controlling of smart workshop
What are challenges of a 'Digital Twin'?;Diagnostics, Optimisation and Prediction;0.8883;JLUW5LIF;Digital Twin Applications: Diagnostics, Optimisation and Prediction
What are challenges of a 'Digital Twin'?;operational limitations and process bottlenecks;0.886;V9N7P5QV;Visual validation services with time coordination for senior citizens social events - OldBirds digital twin platform
What are challenges of a 'Digital Twin'?;improve the IHSC transparency, safety, security, and efficiency;0.8838;MNQZM5H9;Simulation-Based Digital Twin Development for Blockchain Enabled End-to-End Industrial Hemp Supply Chain Risk Management
What are challenges of a 'Digital Twin'?;high data quality, availability, and trustworthiness;0.883;U9UCIP9I;The Digital Twin – Birth of an Integrated System in the Digital Age
What are challenges of a 'Digital Twin'?;technical issues and cost;0.8802;9P8AAUVM;On Digital Twin Condition Monitoring Approach for Drivetrains in Marine Applications
What are challenges of a 'Digital Twin'?;digital standardisation, information sharing, ICT regulation and digital security;0.8797;AISSN8RV;Challenges of Digital Twin in High Value Manufacturing
What are challenges of a 'Digital Twin'?;unpredictable equipment failure, unstable network status, and inconvenient maintenance;0.8777;4BWN94G4;Structural Design of Digital Twin Laboratory Model Based on Instruments Sharing Platform
What are challenges of a 'Digital Twin'?;control and information sharing between production units and cloud-based control functions;0.8697;B75SXXWQ;A Digital Twin Based Industrial Automation and Control System Security Architecture
What are challenges of a 'Digital Twin'?;users’ privacy;0.8668;JHMTNIKC;An ISO/IEEE 11073 Standardized Digital Twin Framework for Health and Well-Being in Smart Cities
What are challenges of a 'Digital Twin'?;dynamic wireless interferences;0.8656;ET3KBVD9;From Surveillance to Digital Twin: Challenges and Recent Advances of Signal Processing for the Industrial Internet of Things
What are challenges of a 'Digital Twin'?;faster prototyping, algorithm design and AI-based augmented engineering;0.8655;EV37TXGW;AI-Augmented Multi Function Radar Engineering with Digital Twin: Towards Proactivity
What are challenges of a 'Digital Twin'?;system functions, operating environment, and mission;0.8632;VRYGEDWC;Model-Based Design of Complex Aeronautical Systems Through Digital Twin and Thread Concepts
What are challenges of a 'Digital Twin'?;reducing overhead and saving resources;0.8598;3EI6UF47;Cloud-Based Digital Twin for Industrial Robotics
What are challenges of a 'Digital Twin'?;depth of detail and granularity;0.8546;RMRA6NG2;Digital Twin: Empowering Enterprises Towards a System-of-Systems Approach
What are challenges of a 'Digital Twin'?;sensor reliability, sensor data quality and their input to the virtual model;0.854;897TQYWA;On Risk of Digital Twin Implementation in Marine Industry: Learning from Aviation Industry
What are challenges of a 'Digital Twin'?;developing and deploy;0.8538;BS4Y99Y7;Airframe digital twin technology adaptability assessment and technology demonstration
What are challenges of a 'Digital Twin'?;creation and near-real-time updates;0.8495;ZF4KXHTQ;From LiDAR point cloud towards digital twin city: Clustering city objects based on Gestalt principles
What are challenges of a 'Digital Twin'?;interoperability issues;0.8495;VECHY4L6;DIGITAL TWIN: A HBIM-BASED METHODOLOGY TO SUPPORT PREVENTIVE CONSERVATION OF HISTORIC ASSETS THROUGH HERITAGE SIGNIFICANCE AWARENESS
What are challenges of a 'Digital Twin'?;failure prediction;0.8494;VTURPKEW;Dynamic resource allocation optimization for digital twin-driven smart shopfloor
What are challenges of a 'Digital Twin'?;lack of accurate, unified definition and description;0.846;MRYAD86I;An application framework of digital twin and its case study
What are challenges of a 'Digital Twin'?;different voltages, currents, loadings and temperatures;0.8459;5XQMW7D6;A Digital Twin based Estimation Method for Health Indicators of DC-DC Converters
What are challenges of a 'Digital Twin'?;measuring heat flow and other thermal parameters;0.8454;BCGITJVS;Information-Based Model Discrimination for Digital Twin Behavioral Matching
What are challenges of a 'Digital Twin'?;new design and manufacturing constraints;0.8309;C25GCGK2;Automatic Generation of Digital Twin ased on Scanning and Object Recognition
What are challenges of a 'Digital Twin'?;balancing consumptions versus demand of energy and resources;0.8284;J7ZDC6BP;Towards a semantic Construction Digital Twin: Directions for future research
What are challenges of a 'Digital Twin'?;equipment failure and absence of personnel;0.8227;AUE62ZF4;Model construction of planning and scheduling system based on digital twin
What are challenges of a 'Digital Twin'?;misunderstandings;0.8226;LYKCJP28;The role of the Industry 4.0 asset administration shell and the digital twin during the life cycle of a plant
What are challenges of a 'Digital Twin'?;physical objects, virtual objects, and the connection of physical space and virtual space;0.8219;H8RR4IB3;A enhanced interaction framework based on VR, AR and MR in digital twin
What are challenges of a 'Digital Twin'?;improvements in end-product safety and cost;0.8204;9EH3ELD7;Process compensated resonance testing (PCRT) inversion for material characterization and digital twin calibration
What are challenges of a 'Digital Twin'?;models the robot and its environment;0.818;N5AJ53CG;Training Robot Manipulation Skills through Practice with Digital Twin of Baxter
What are challenges of a 'Digital Twin'?;prognosis, health-monitoring, maintenance and remaining useful life prediction;0.8178;7KDJXKH6;Machine learning based digital twin for dynamical systems with multiple time-scales
What are challenges of a 'Digital Twin'?;Energy-aware resources;0.8156;PUNDW3ZP;Energy-Aware Resources in Digital Twin: The Case of Injection Molding Machines
What are challenges of a 'Digital Twin'?;security and privacy;0.8135;DCEH5T6X;Building an organizational digital twin
What are challenges of a 'Digital Twin'?;predictive maintenance;0.8134;LXWGZLR4;Unlocking Potentials of Building Energy Systems’ Operational Efficiency: Application of Digital Twin Design for HVAC systems
What are challenges of a 'Digital Twin'?;predicting the dimension and surface texture quality;0.8131;K7F3DVHS;Digital twin of manufacturing systems
What are challenges of a 'Digital Twin'?;consequences and implications;0.811;Q7HEHTNW;Tackling Urban Challenges with Models, Spatial Analysis and Numerical Simulations in Immersive Virtual Environments.
What are challenges of a 'Digital Twin'?;production line layout, production scheduling, logistics distribution and testing equipment;0.8105;AEKM7E7T;A digital twin-based flexible cellular manufacturing for optimization of air conditioner line
What are challenges of a 'Digital Twin'?;separation of concerns;0.8103;I29GGRLL;Digital Twin in the IoT context: a survey on technical features, scenarios and architectural models
What are challenges of a 'Digital Twin'?;technical problems that come from handling large amounts of information and modeling highly dynamic interactions;0.8103;CFRQCR34;A novel digital twin-centric approach for driver intention prediction and traffic congestion avoidance
What are challenges of a 'Digital Twin'?;troubleshooting during an unplanned outage;0.8091;HM96IX8F;Real-Time Production Optimization - Applying a Digital Twin Model to Optimize the Entire Upstream Value Chain
What are challenges of a 'Digital Twin'?;designing, building, integrating, commissioning and operating complex, integrated systems;0.8078;3TEE2XUQ;Digital Twin Modelling of Ship Power and Propulsion Systems: Application of the Open Simulation Platform (OSP)
What are challenges of a 'Digital Twin'?;fuel supply (Trottle opening, %) and load on the hook;0.8041;XH6G8DQ5;Digital twin of wheel tractor with automatic gearbox
What are challenges of a 'Digital Twin'?;manufacturing issues;0.7984;57QAGL64;Digital twin framework and its application to power grid online analysis
What are challenges of a 'Digital Twin'?;increase in energy consumption and deterioration in product quality;0.7982;8MPBMLCG;Operation Procedures of a Work-Center-Level Digital Twin for Sustainable and Smart Manufacturing
