question;answer;score;key;title
What is the definition of a 'Digital Twin'?;Index Terms;0.9924;FXXQB4MF;Pervasive Computing Integrated Discrete Event Simulation for a Hospital Digital Twin
What is the definition of a 'Digital Twin'?;biomechanical model;0.9722;HL9QWGCY;A semi-active human digital twin model for detecting severity of carotid stenoses from head vibration—A coupled computational mechanics and computer vision method
What is the definition of a 'Digital Twin'?;Demonstrator;0.9672;35T3W4KX;Man, machine and work in a digital twin setup: a case study
What is the definition of a 'Digital Twin'?;Intelligent manufacturing;0.9596;59T3FH76;Knowledge-driven digital twin manufacturing cell towards intelligent manufacturing
What is the definition of a 'Digital Twin'?;digital replicas;0.9551;N5FGP5WW;Data-driven Digital Twin approach for process optimization: an industry use case
What is the definition of a 'Digital Twin'?;Multi-agent Software Architectures;0.9534;I29GGRLL;Digital Twin in the IoT context: a survey on technical features, scenarios and architectural models
What is the definition of a 'Digital Twin'?;Hydraulics;0.952;232YHQTK;Using an Advanced Digital Twin to Improve Downhole Pressure Control
What is the definition of a 'Digital Twin'?;simulation model;0.9516;LYKCJP28;The role of the Industry 4.0 asset administration shell and the digital twin during the life cycle of a plant
What is the definition of a 'Digital Twin'?;The Replica;0.9496;PHDIVR6K;Digital Twin: Enabling Technologies, Challenges and Open Research
What is the definition of a 'Digital Twin'?;service value creation;0.9495;B5FK7VNP;SERVICE VALUE CREATION USING A DIGITAL TWIN
What is the definition of a 'Digital Twin'?;unrealistic;0.9494;2L8RCFHN;A method for identification and sequence optimisation of geometry spot welds in a digital twin context
What is the definition of a 'Digital Twin'?;Functionalities;0.9413;TEQ8MVA5;Review of digital twin applications in manufacturing
What is the definition of a 'Digital Twin'?;near-optimal solution;0.9373;IJGW6UVW;Deriving a Cost-Effective Digital Twin of an ICS to Facilitate Security Evaluation
What is the definition of a 'Digital Twin'?;section 3.2;0.9351;59QKG46I;Integrating the Digital Twin of the manufacturing system into a decision support system for improving the order management process
What is the definition of a 'Digital Twin'?;advanced dynamic simulation;0.9332;7FJJVFNC;Drilling Digital Twin Success Stories the Last 10 Years
What is the definition of a 'Digital Twin'?;real-time monitoring;0.926;YBFESUE9;Towards a digital twin: a hybrid data-driven and mechanistic digital shadow to forecast the evolution of lignocellulosic fermentation
What is the definition of a 'Digital Twin'?;INDEX TERMS Digitalization;0.9205;34FWNV6J;Digital Twin for the Oil and Gas Industry: Overview, Research Trends, Opportunities, and Challenges
What is the definition of a 'Digital Twin'?;˜z;0.9168;SVV52EKF;A Digital Twin Approach for Fault Diagnosis in Distributed Photovoltaic Systems
What is the definition of a 'Digital Twin'?;Index Terms;0.913;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What is the definition of a 'Digital Twin'?;Parameters;0.905;FEKEXDCW;Towards a Digital Twin Supporting Risk Based Decision Making for Offshore Installations
What is the definition of a 'Digital Twin'?;virtual counterparts of physical devices;0.8952;T4RKMT4Y;Challenges of Digital Twin System
What is the definition of a 'Digital Twin'?;3.2;0.8885;CMB96B57;Digital Twin Requirements in the Context of Industry 4.0
What is the definition of a 'Digital Twin'?;Post-Occupancy;0.8875;E3IEW4Q6;The Post-Occupancy Digital Twin: A Quantitative Report on Data Standardisation and Dynamic Building Performance Evaluation
What is the definition of a 'Digital Twin'?;digital representations of a physical systems;0.8867;7A8M2H67;Using Digital Twin Technology to Ensure Data Quality in Transport Systems
What is the definition of a 'Digital Twin'?;equipment operation simulation;0.8829;6FTKLGVI;Prediction maintenance integrated decision-making approach supported by digital twin-driven cooperative awareness and interconnection framework
What is the definition of a 'Digital Twin'?;Open Government Data;0.8828;4D9PVTKL;The Digital Twin of the City of Zurich for Urban Planning
What is the definition of a 'Digital Twin'?;Model Predictive Control;0.8821;UIAS2E56;Characterising the Digital Twin: A systematic literature review
What is the definition of a 'Digital Twin'?;Smart Assembly¨ 4.0;0.8807;M33SUG6F;Individualizing Locator Adjustments of Assembly Fixtures Using a Digital Twin
What is the definition of a 'Digital Twin'?;Index Terms;0.8802;93U6AM3G;On the Implementation of IoT-Based Digital Twin for Networked Microgrids Resiliency Against Cyber Attacks
What is the definition of a 'Digital Twin'?;Smart manufacturing;0.8797;X5Z5QL7P;Digital Twin-Based Smart Manufacturing System for Project-Based Organizations: A Conceptual Framework
What is the definition of a 'Digital Twin'?;real time optimization;0.8784;TSITSDPP;Inspection Data to Support a Digital Twin for Geometry Assurance
What is the definition of a 'Digital Twin'?;increasing intellectual capital;0.8696;AISSN8RV;Challenges of Digital Twin in High Value Manufacturing
What is the definition of a 'Digital Twin'?;Reengineering Aircraft Structural Life Prediction;0.8688;5PQEURHP;Automatic Generation of a Simulation-Based Digital Twin of an Industrial Process Plant
What is the definition of a 'Digital Twin'?;Model-Driven Development;0.8671;LRIA73PJ;Model-Driven Development of a Digital Twin for Injection Molding
What is the definition of a 'Digital Twin'?;750 million to 1 billion;0.8661;DNHFMXAH;Is Digital Thread/Digital Twin Affordable? A Systemic Assessment of the Cost of DoD’s Latest Manhattan Project
What is the definition of a 'Digital Twin'?;virtual representation;0.8648;VRYGEDWC;Model-Based Design of Complex Aeronautical Systems Through Digital Twin and Thread Concepts
What is the definition of a 'Digital Twin'?;Privacy Scenario;0.862;QASDYEUH;A Digital Twin-based Privacy Enhancement Mechanism for the Automotive Industry
What is the definition of a 'Digital Twin'?;Hook height variation;0.8613;TD6NLD6T;Digital Twin - Engineering with the Human Factor in the Loop
What is the definition of a 'Digital Twin'?;Configuration diagram;0.8606;HSMDQBUG;Design and implementation of a digital twin application for a connected micro smart factory
What is the definition of a 'Digital Twin'?;Total Integrated Automation portal;0.8602;CI2RPJ82;Development of real-time monitoring and control system for Geothermal drilling by using digital twin technology
What is the definition of a 'Digital Twin'?;2891060;0.854;B5IQC44M;Digital Twin-Driven Cyber-Physical System for Autonomously Controlling of Micro Punching System
What is the definition of a 'Digital Twin'?;5 : 5;0.8539;IIAWIGPD;Deep Learning for Hybrid 5G Services in Mobile Edge Computing Systems: Learn From a Digital Twin
What is the definition of a 'Digital Twin'?;V&V;0.8524;92XJ4YQ5;A Methodology for the Experimental Validation of an Aircraft ECS Digital Twin Targeting System Level Diagnostics
What is the definition of a 'Digital Twin'?;smart management;0.851;5YFYMX9B;A case study of digital-twin-modelling analysis on power-plant-performance optimizations
What is the definition of a 'Digital Twin'?;fig. 2;0.8493;EVSAD75U;IoT-based Mine Ventilation Control System Architecture with Digital Twin
What is the definition of a 'Digital Twin'?;location specific property representation;0.8468;HM3ZX8RB;The US Air Force Digital Thread/Digital Twin - Life Cycle Integration and Use of Computational and Experimental Knowledge
What is the definition of a 'Digital Twin'?;The information from the common fleet;0.8464;HYCEK9Q3;Demonstration of an Airframe Digital Twin Framework Using a CF-188 Full-Scale Component Test
What is the definition of a 'Digital Twin'?;dynamic simulator;0.8463;2CPJBRJ9;Developing a Digital Twin: The Roadmap for Oil and Gas Optimization
What is the definition of a 'Digital Twin'?;progressive;0.844;6C4XWIF3;Developing a City-Level Digital Twin Propositions and a Case Study
What is the definition of a 'Digital Twin'?;Additive Manufacturing;0.8427;QSNVT36M;Toward the digital twin of additive manufacturing: Integrating thermal simulations, sensing, and analytics to detect process faults
What is the definition of a 'Digital Twin'?;automatic data flow into both directions;0.8414;HT9UK5VY;Implementation of an IoT- and Cloud-based Digital Twin for Real-Time Decision Support in Port Operations
What is the definition of a 'Digital Twin'?;calibrated model;0.8407;YADNI5MD;Mona Lisa's digital twin: identifying the mechanical properties of the panel combining experimental data and advanced finite-element modelling
What is the definition of a 'Digital Twin'?;sensor network design;0.8378;ZWGQEVIZ;Digital Twin: Vision, Benefits, Boundaries, and Creation for Buildings
What is the definition of a 'Digital Twin'?;Section 4.1;0.837;JXKXHTDS;Integration of an energy management tool and digital twin for coordination and control of multi-vector smart energy systems
What is the definition of a 'Digital Twin'?;Cyber-physical;0.837;397MM288;Concept and Implementation of a Cyber-Physical Digital Twin for a SMT Line
What is the definition of a 'Digital Twin'?;mixed-fidelity;0.8356;6FT5QEXR;Challenges in Digital Twin Development for Cyber-Physical Production Systems
What is the definition of a 'Digital Twin'?;trustworthy;0.8348;STCNPGBQ;A Visionary Model on Blockchain-based Accountability for Secure and Collaborative Digital Twin Environments
What is the definition of a 'Digital Twin'?;ultra-realistic;0.8275;HRMCBPU9;The Digital Twin Paradigm for Future NASA and U.S. Air Force Vehicles
What is the definition of a 'Digital Twin'?;low fidelity;0.8244;6FYAT3PD;Reengineering Aircraft Structural Life Prediction Using a Digital Twin
What is the definition of a 'Digital Twin'?;optimal neural network;0.8234;ZWW4HY3Q;Digital equipment twin as the basis for the consumer in digital production
What is the definition of a 'Digital Twin'?;Service Provider;0.8211;DI4INYS4;A Digital Twin based Service Oriented Application for a 4.0 Knowledge Navigation in the Smart Factory
What is the definition of a 'Digital Twin'?;big data analytics;0.8204;QRWN2WAJ;Manufacturing Blockchain of Things for the Configuration of a Data-and Knowledge-Driven Digital Twin Manufacturing Cell
What is the definition of a 'Digital Twin'?;Scheduling;0.8198;9QSDUATZ;A Digital Twin-based scheduling framework including Equipment Health Index and Genetic Algorithms
What is the definition of a 'Digital Twin'?;Big Data;0.818;2C997CVV;Digital Twin-driven smart manufacturing: Connotation, reference model, applications and research issues
What is the definition of a 'Digital Twin'?;a data set driven by DTbased assembly process design;0.8176;YW6CP7MP;Digital twin-based smart assembly process design and application framework for complex products and its case study
What is the definition of a 'Digital Twin'?;bi-directional automatic data flow;0.815;ES66PGSU;A digital twin to train deep reinforcement learning agent for smart manufacturing plants: Environment, interfaces and intelligence
What is the definition of a 'Digital Twin'?;digital duplicate;0.815;AXCS2T5I;Devising a Game Theoretic Approach to Enable Smart City Digital Twin Analytics
What is the definition of a 'Digital Twin'?;left;0.8138;ME9TNIRV;Digital Twin based synchronised control and simulation of the industrial robotic cell using Virtual Reality
What is the definition of a 'Digital Twin'?;process simulation;0.8122;X8YB23CV;Evolution of a Digital Twin for a Steam Cracker
What is the definition of a 'Digital Twin'?;Energy-aware resources;0.8105;PUNDW3ZP;Energy-Aware Resources in Digital Twin: The Case of Injection Molding Machines
