question;answer;score;key;title
What are dimensions of a 'Digital Twin'?;α,R,K, and C;0.983;62CYGQZE;Digital Twin Enabled Smart Control Engineering as an Industrial AI: A New Framework and A Case Study
What are dimensions of a 'Digital Twin'?;natural interfaces;0.9821;J8YNNMHC;Stages of Design of Digital Twin for Local Enterprise
What are dimensions of a 'Digital Twin'?;technology, effect, and application;0.9671;AMA5QADB;Revolution on digital twin technology—a patent research approach
What are dimensions of a 'Digital Twin'?;virtual reality mapping and interaction fusion;0.9663;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What are dimensions of a 'Digital Twin'?;Sensors and actuators;0.9647;EC7HGVVY;Digital twin-driven product design framework
What are dimensions of a 'Digital Twin'?;digital replicas;0.9597;N5FGP5WW;Data-driven Digital Twin approach for process optimization: an industry use case
What are dimensions of a 'Digital Twin'?;time and level of detail;0.9594;59QKG46I;Integrating the Digital Twin of the manufacturing system into a decision support system for improving the order management process
What are dimensions of a 'Digital Twin'?;three in space and one in time;0.9586;5UHAEFIT;Digital Twin: Values, Challenges and Enablers
What are dimensions of a 'Digital Twin'?;contact and contactless;0.9571;A774CDKB;Digital Twin of Experimental Workplace for Quality Control with Cloud Platform Support
What are dimensions of a 'Digital Twin'?;Geometry Model, Behaviour Model and Context Model;0.9421;TVJGMFUL;Digital twin modeling method based on biomimicry for machining aerospace components
What are dimensions of a 'Digital Twin'?;length, width, and height;0.9394;ELJTYQ98;Digital twin-based process reuse and evaluation approach for smart process planning
What are dimensions of a 'Digital Twin'?;three in space and one in time;0.9369;L99VI2FU;Digital Twin: Values, Challenges and Enablers From a Modeling Perspective
What are dimensions of a 'Digital Twin'?;reflection, virtualization, and entanglement;0.9343;I29GGRLL;Digital Twin in the IoT context: a survey on technical features, scenarios and architectural models
What are dimensions of a 'Digital Twin'?;techniques, processes, and methods;0.9317;RUURCQL7;Digital Twin Technology
What are dimensions of a 'Digital Twin'?;high complexity;0.9295;WBX7Q85E;An architectural approach to process control of gas compressor stations with a low temperature separation gas preparation unit based on a digital twin
What are dimensions of a 'Digital Twin'?;DT monitoring module, DT prediction module and DT early warning module;0.9288;MSXN996B;Monitoring and Warning for Digital Twin-driven Mountain Geological Disaster
What are dimensions of a 'Digital Twin'?;asset integrity monitoring, project planning, and life cycle management;0.9241;34FWNV6J;Digital Twin for the Oil and Gas Industry: Overview, Research Trends, Opportunities, and Challenges
What are dimensions of a 'Digital Twin'?;physical fusion, model fusion, data fusion and service fusion;0.9214;ENJKGA7Y;Digital twin-enabled reconfigurable modeling for smart manufacturing systems
What are dimensions of a 'Digital Twin'?;economic, social, and environmental;0.9177;AXCS2T5I;Devising a Game Theoretic Approach to Enable Smart City Digital Twin Analytics
What are dimensions of a 'Digital Twin'?;accuracy, quality, and time resolution;0.9176;Z7Y9W2V7;Exploring the blue skies potential of digital twin technology for a polar supply and research vessel
What are dimensions of a 'Digital Twin'?;digital replicas of physical objects;0.9164;QJTM9ZS7;DIGITAL TWIN OF DISTRIBUTED ENERGY DEVICES
What are dimensions of a 'Digital Twin'?;hyper realism, computability, controllability, and predictability;0.9136;B85IJW7W;A Digital-Twin-Assisted Fault Diagnosis Using Deep Transfer Learning
What are dimensions of a 'Digital Twin'?;virtual simulation model, behavior model and information model;0.9117;ZKR2SS5I;Digital Twin-Driven Control Method for Robotic Automatic Assembly System
What are dimensions of a 'Digital Twin'?;seven workstations;0.9079;7BS942QH;MES-integrated digital twin frameworks
What are dimensions of a 'Digital Twin'?;digital model, execution environment, Database management system and control system block;0.9068;JLUW5LIF;Digital Twin Applications: Diagnostics, Optimisation and Prediction
