question;answer;score;key;title
What are disadvantages of a 'Digital Twin'?;weight and performance;0.9452;HRMCBPU9;The Digital Twin Paradigm for Future NASA and U.S. Air Force Vehicles
What are disadvantages of a 'Digital Twin'?;model discrepancy and prognosis;0.9425;RCDXA796;Digital twin, physics-based model, and machine learning applied to damage detection in structures
What are disadvantages of a 'Digital Twin'?;compatibility and interoperability challenges;0.9291;HVRNXY7P;Digital twin-based WEEE recycling, recovery and remanufacturing in the background of Industry 4.0
What are disadvantages of a 'Digital Twin'?;Clarity and transparency;0.8919;G6DDC4MX;DIGITAL TWIN, VIRTUAL REALITY AND SPACE SYNTAX: CIVIC ENGAGEMENT AND DECISION SUPPORT FOR SMART, SUSTAINABLE CITIES.
What are disadvantages of a 'Digital Twin'?;environmental effects and aging;0.8811;K7F3DVHS;Digital twin of manufacturing systems
What are disadvantages of a 'Digital Twin'?;equipment failure and absence of personnel;0.881;AUE62ZF4;Model construction of planning and scheduling system based on digital twin
What are disadvantages of a 'Digital Twin'?;cracking and deformation;0.8777;QSNVT36M;Toward the digital twin of additive manufacturing: Integrating thermal simulations, sensing, and analytics to detect process faults
What are disadvantages of a 'Digital Twin'?;higher efficiency and reliability;0.8775;SVV52EKF;A Digital Twin Approach for Fault Diagnosis in Distributed Photovoltaic Systems
What are disadvantages of a 'Digital Twin'?;close open gaps;0.8771;A4Q5WZSU;Architecture of a Digital Twin for Enabling Digital Services for Battery Systems
What are disadvantages of a 'Digital Twin'?;object-oriented modeling;0.8767;QKK2VMHP;A Digital Twin for Operational Evaluation of Vertical Transportation Systems
What are disadvantages of a 'Digital Twin'?;lack of accurate, unified definition and description;0.875;MRYAD86I;An application framework of digital twin and its case study
What are disadvantages of a 'Digital Twin'?;cost and availability of technology;0.8718;UIAS2E56;Characterising the Digital Twin: A systematic literature review
What are disadvantages of a 'Digital Twin'?;flexibility, portability and mobility;0.8707;YW6CP7MP;Digital twin-based smart assembly process design and application framework for complex products and its case study
What are disadvantages of a 'Digital Twin'?;virtual reality mapping and interaction fusion;0.8686;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What are disadvantages of a 'Digital Twin'?;more detailed data;0.8626;C72KJT6I;A DIGITAL TWIN FOR ROOT CAUSE ANALYSIS AND PRODUCT QUALITY MONITORING
What are disadvantages of a 'Digital Twin'?;different voltages, currents, loadings and temperatures;0.8618;5XQMW7D6;A Digital Twin based Estimation Method for Health Indicators of DC-DC Converters
What are disadvantages of a 'Digital Twin'?;productivity and efficiency;0.8615;T7MURFP2;A Digital Twin for Grinding Wheel: An Information Sharing Platform for Sustainable Grinding Process
What are disadvantages of a 'Digital Twin'?;time evolution;0.861;H2CSBLBG;From ROM of Electrochemistry to AI-Based Battery Digital and Hybrid Twin
