question;answer;score;key;title
What are trends in the domain of 'Digital Twin'?;Diagnostics, Optimisation and Prediction;0.9967;JLUW5LIF;Digital Twin Applications: Diagnostics, Optimisation and Prediction
What are trends in the domain of 'Digital Twin'?;data curation;0.9857;B5NQWNVI;Digital Twin of Experimental Smart Manufacturing Assembly System for Industry 4.0 Concept
What are trends in the domain of 'Digital Twin'?;product individuation;0.9791;UMRRU8HK;Digital twin-based designing of the configuration, motion, control, and optimization model of a flow-type smart manufacturing system
What are trends in the domain of 'Digital Twin'?;big data analytics;0.9752;EGURTTDW;Visualisation of the Digital Twin data in manufacturing by using Augmented Reality
What are trends in the domain of 'Digital Twin'?;real time optimization;0.9696;TSITSDPP;Inspection Data to Support a Digital Twin for Geometry Assurance
What are trends in the domain of 'Digital Twin'?;security, integrity and accountability;0.9543;STCNPGBQ;A Visionary Model on Blockchain-based Accountability for Secure and Collaborative Digital Twin Environments
What are trends in the domain of 'Digital Twin'?;Acquisition and Sustainment of warfighting capabilities;0.9528;HM3ZX8RB;The US Air Force Digital Thread/Digital Twin - Life Cycle Integration and Use of Computational and Experimental Knowledge
What are trends in the domain of 'Digital Twin'?;parts, operators, capital equipment, and consumables;0.9515;YS3JWYAU;Part data integration in the Shop Floor Digital Twin: Mobile and cloud technologies to enable a manufacturing execution system
What are trends in the domain of 'Digital Twin'?;health and well-being;0.9509;JHMTNIKC;An ISO/IEEE 11073 Standardized Digital Twin Framework for Health and Well-Being in Smart Cities
What are trends in the domain of 'Digital Twin'?;information regarding the material availability;0.9506;59QKG46I;Integrating the Digital Twin of the manufacturing system into a decision support system for improving the order management process
What are trends in the domain of 'Digital Twin'?;virtual reality mapping and interaction fusion;0.9497;RYXTZ4AX;Digital-Twin-Based Job Shop Scheduling Toward Smart Manufacturing
What are trends in the domain of 'Digital Twin'?;efficiency and reliability;0.9485;YW6CP7MP;Digital twin-based smart assembly process design and application framework for complex products and its case study
What are trends in the domain of 'Digital Twin'?;Simulation results;0.9379;7CKSDN5C;Tolerance Allocation With Simulation-Based Digital Twin for CFRP-Metal Countersunk Bolt Joint
What are trends in the domain of 'Digital Twin'?;blockchain and IIoT integration;0.9356;QRWN2WAJ;Manufacturing Blockchain of Things for the Configuration of a Data-and Knowledge-Driven Digital Twin Manufacturing Cell
What are trends in the domain of 'Digital Twin'?;smart production and management;0.9338;V39ZWKXQ;Digital Twin Shop-Floor: A New Shop-Floor Paradigm Towards Smart Manufacturing
What are trends in the domain of 'Digital Twin'?;digital representations of a physical systems;0.9329;7A8M2H67;Using Digital Twin Technology to Ensure Data Quality in Transport Systems
What are trends in the domain of 'Digital Twin'?;Service-Oriented Architecture;0.9329;UNQE5KVW;A Digital Twin for Automated Root-Cause Search of Production Alarms Based on KPIs Aggregated from IoT
What are trends in the domain of 'Digital Twin'?;distributed energy sources;0.9296;QJTM9ZS7;DIGITAL TWIN OF DISTRIBUTED ENERGY DEVICES
What are trends in the domain of 'Digital Twin'?;corrective maintenance;0.9293;5AHPCIYX;Modular Fault Ascription and Corrective Maintenance Using a Digital Twin
What are trends in the domain of 'Digital Twin'?;3D models;0.9291;L99VI2FU;Digital Twin: Values, Challenges and Enablers From a Modeling Perspective
What are trends in the domain of 'Digital Twin'?;Three-dimensional modeling;0.9212;SE8DHM9U;Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities
What are trends in the domain of 'Digital Twin'?;asset integrity monitoring, project planning, and life cycle management;0.9203;34FWNV6J;Digital Twin for the Oil and Gas Industry: Overview, Research Trends, Opportunities, and Challenges
What are trends in the domain of 'Digital Twin'?;business development and digital technologies;0.9184;NLXERBF6;The logistics network digital twin in view of concept of the non-destructive quality control methods
What are trends in the domain of 'Digital Twin'?;economic globalization and mass customization;0.9117;E7XVMW7J;How to model and implement connections between physical and virtual models for digital twin application
What are trends in the domain of 'Digital Twin'?;model-based engineering, interactive storytelling;0.9106;QHM3S947;Exploiting Digital Twin Technology to Teach Engineering Fundamentals and Afford Real-World Learning Opportunities
What are trends in the domain of 'Digital Twin'?;historical data and ML analytics models;0.8995;QASDYEUH;A Digital Twin-based Privacy Enhancement Mechanism for the Automotive Industry
What are trends in the domain of 'Digital Twin'?;product and manufacturing design;0.8994;X5QAAVQX;SMART CITY DEVELOPMENT WITH DIGITAL TWIN TECHNOLOGY
What are trends in the domain of 'Digital Twin'?;manufacturing;0.8984;KGWFTC2Q;Digital Twin-enabled Collaborative Data Management for Metal Additive Manufacturing Systems
What are trends in the domain of 'Digital Twin'?;uncertainties;0.8979;GBTQAQ97;Digital Twin Enhanced Dynamic Job-Shop Scheduling
What are trends in the domain of 'Digital Twin'?;time and computational e ort;0.8942;4UZMPK6C;Flexible Work Cell Simulator Using Digital Twin Methodology for Highly Complex Systems in Industry 4.0
